epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.64877,3.50736,3.01099,3.87907,0.00072,0.03497,0.0004,0.0001,4.2922,3.71762,4.58746,0.000659574,0.000659574,0.000659574
2,10.5518,2.72734,2.4634,2.91775,0.17734,0.27972,0.12682,0.03344,2.83477,3.44718,2.98719,0.00132495,0.00132495,0.00132495
3,15.355,2.34526,2.20031,2.51587,0.34977,0.16783,0.15579,0.04798,2.42807,7.03278,2.6898,0.00198513,0.00198513,0.00198513
4,20.1772,2.13548,1.99789,2.27957,0.31548,0.34965,0.2777,0.11881,2.13243,2.88587,2.22578,0.00198246,0.00198246,0.00198246
5,25.0388,2.0176,1.88992,2.1437,0.55383,0.36458,0.40007,0.17641,2.08674,1.95083,2.1841,0.0019689,0.0019689,0.0019689
6,29.9447,1.9099,1.78942,2.0191,0.62536,0.42657,0.47024,0.23202,1.93084,1.86576,2.04596,0.00195155,0.00195155,0.00195155
7,34.8129,1.84911,1.70511,1.9599,0.67927,0.40559,0.47244,0.25585,1.83073,1.88594,1.94924,0.00193048,0.00193048,0.00193048
8,39.7013,1.77032,1.63437,1.90656,0.75506,0.40559,0.49229,0.27562,1.63802,1.76166,1.82382,0.00190578,0.00190578,0.00190578
9,44.5701,1.72372,1.58096,1.85696,0.55194,0.46853,0.49322,0.28704,1.68449,1.65615,1.80843,0.00187754,0.00187754,0.00187754
10,49.4092,1.68161,1.53223,1.80381,0.80273,0.39839,0.51387,0.3035,1.68841,1.59939,1.81701,0.00184588,0.00184588,0.00184588
11,54.2253,1.6344,1.48068,1.76902,0.66098,0.54545,0.61015,0.33496,1.62746,1.51757,1.71159,0.00181093,0.00181093,0.00181093
12,59.168,1.6031,1.44213,1.73086,0.61075,0.54862,0.56665,0.31697,1.67491,1.62289,1.78672,0.00177281,0.00177281,0.00177281
13,63.9815,1.55957,1.40175,1.70189,0.71571,0.4965,0.56199,0.33642,1.63057,1.58685,1.82039,0.00173168,0.00173168,0.00173168
14,68.8083,1.52419,1.40325,1.68183,0.71024,0.51748,0.60383,0.34036,1.59797,1.51333,1.74512,0.0016877,0.0016877,0.0016877
