epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,73.5668,1.52098,1.37481,1.68208,0.74331,0.4965,0.58994,0.34858,1.51757,1.48644,1.60741,0.00164105,0.00164105,0.00164105
16,78.3735,1.50488,1.34883,1.6575,0.84715,0.4965,0.6225,0.38643,1.42638,1.35605,1.53842,0.00159191,0.00159191,0.00159191
17,83.1515,1.45718,1.32078,1.62727,0.7815,0.60029,0.64499,0.40131,1.49513,1.3146,1.59317,0.00154047,0.00154047,0.00154047
18,87.9735,1.44067,1.29504,1.60813,0.70401,0.58741,0.64545,0.412,1.37141,1.30872,1.534,0.00148694,0.00148694,0.00148694
19,92.7622,1.41743,1.26351,1.59324,0.82137,0.5035,0.62543,0.40797,1.37153,1.34854,1.54632,0.00143152,0.00143152,0.00143152
20,97.6102,1.40045,1.24482,1.58044,0.80519,0.57809,0.66834,0.43138,1.38804,1.28478,1.5691,0.00137444,0.00137444,0.00137444
21,102.409,1.38322,1.23252,1.57859,0.74392,0.58042,0.64621,0.40777,1.40639,1.32595,1.59835,0.00131593,0.00131593,0.00131593
22,107.198,1.35233,1.19731,1.55437,0.67531,0.53815,0.6356,0.40538,1.40266,1.35149,1.57707,0.0012562,0.0012562,0.0012562
23,111.986,1.34699,1.18073,1.54354,0.83594,0.51049,0.65773,0.4309,1.26818,1.21021,1.49699,0.00119551,0.00119551,0.00119551
24,116.761,1.35391,1.19869,1.54529,0.81952,0.62238,0.7135,0.4646,1.35446,1.16521,1.53951,0.00113408,0.00113408,0.00113408
25,121.64,1.31783,1.15367,1.52154,0.82927,0.52448,0.63717,0.41691,1.29621,1.24875,1.48419,0.00107216,0.00107216,0.00107216
26,126.513,1.30921,1.14914,1.51354,0.74497,0.61538,0.68877,0.43816,1.38009,1.18717,1.53332,0.00101,0.00101,0.00101
27,131.374,1.30737,1.14565,1.50712,0.71201,0.62937,0.70497,0.4583,1.33366,1.18325,1.54054,0.000947837,0.000947837,0.000947837
28,136.228,1.27859,1.11959,1.49589,0.73013,0.65035,0.71624,0.47629,1.20976,1.0856,1.43599,0.00088592,0.00088592,0.00088592
29,141.048,1.27395,1.09582,1.4839,0.82894,0.64384,0.7226,0.46781,1.2456,1.06327,1.47935,0.000824492,0.000824492,0.000824492
30,145.878,1.25768,1.07783,1.4745,0.68834,0.65734,0.71002,0.45969,1.30155,1.17485,1.4488,0.000763797,0.000763797,0.000763797
31,150.682,1.26021,1.08234,1.46496,0.79331,0.66434,0.74436,0.49928,1.24004,1.0657,1.45414,0.000704073,0.000704073,0.000704073
32,155.558,1.22899,1.05066,1.45225,0.81377,0.64173,0.75293,0.51792,1.18438,1.0207,1.40964,0.000645557,0.000645557,0.000645557
33,160.5,1.22495,1.06183,1.44928,0.7489,0.67133,0.74176,0.49875,1.19819,1.02215,1.41027,0.000588479,0.000588479,0.000588479
34,165.342,1.19847,1.02395,1.43261,0.86996,0.63636,0.75502,0.51853,1.20997,1.02896,1.42386,0.000533064,0.000533064,0.000533064
35,170.22,1.1943,1.01858,1.42428,0.84863,0.62238,0.74802,0.51789,1.17763,1.02936,1.42348,0.000479531,0.000479531,0.000479531
36,175.039,1.20324,1.01248,1.43174,0.90631,0.59441,0.75582,0.51033,1.16657,1.00607,1.39852,0.000428093,0.000428093,0.000428093
37,179.846,1.17917,1.00569,1.4212,0.78811,0.65734,0.74987,0.51667,1.1655,1.02245,1.38058,0.00037895,0.00037895,0.00037895
38,184.701,1.17325,0.98289,1.41245,0.86034,0.65035,0.748,0.513,1.1597,0.99083,1.39937,0.000332298,0.000332298,0.000332298
39,189.528,1.15578,0.97604,1.39923,0.89705,0.62238,0.76326,0.51149,1.17396,0.98401,1.39583,0.000288321,0.000288321,0.000288321
40,194.412,1.15032,0.97911,1.40257,0.86758,0.67133,0.76287,0.51054,1.18855,0.98249,1.3925,0.000247192,0.000247192,0.000247192
41,199.457,1.05957,0.89035,1.33869,0.90268,0.62937,0.76014,0.51445,1.17684,0.95671,1.40324,0.000209073,0.000209073,0.000209073
42,204.046,1.0481,0.8383,1.32283,0.90635,0.64336,0.76964,0.51526,1.16276,0.94706,1.41109,0.000174115,0.000174115,0.000174115
43,208.703,1.04579,0.82017,1.32533,0.85995,0.67832,0.77176,0.52089,1.15071,0.93812,1.39156,0.000142456,0.000142456,0.000142456
44,213.306,1.02586,0.81151,1.32105,0.8492,0.68531,0.77865,0.53179,1.13575,0.92205,1.3988,0.000114221,0.000114221,0.000114221
45,217.929,1.01508,0.80172,1.30391,0.8174,0.6993,0.76981,0.53514,1.14229,0.9238,1.39583,8.95213e-05,8.95213e-05,8.95213e-05
46,222.597,1.01598,0.7994,1.30827,0.92483,0.65734,0.78013,0.52973,1.13255,0.92876,1.37977,6.8454e-05,6.8454e-05,6.8454e-05
47,227.241,1.01276,0.79866,1.30236,0.82969,0.71544,0.78138,0.54037,1.11697,0.92622,1.35627,5.11027e-05,5.11027e-05,5.11027e-05
48,231.91,1.01823,0.7985,1.30652,0.86011,0.69231,0.77859,0.54381,1.12072,0.92669,1.36042,3.75356e-05,3.75356e-05,3.75356e-05
49,236.585,1.00451,0.78629,1.30509,0.85333,0.67832,0.77859,0.5411,1.11757,0.9251,1.36064,2.78064e-05,2.78064e-05,2.78064e-05
50,241.187,1.00649,0.78559,1.29549,0.81732,0.72028,0.7839,0.53797,1.10836,0.90926,1.35956,2.19535e-05,2.19535e-05,2.19535e-05
